ID,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.7281960576777193
8,NA,NA,NA,NA,NA,NA,NA,-0.18010221574881258,NA,NA,-0.7802825016990818,NA,NA,NA,NA,NA,-0.416196573316004,-5.288954568118271,3.2210110756365133,-1.9389362119409028
16,0.5385423215975228,NA,NA,NA,-1.4717387732367988,-3.126794737783696,-1.7172827080987358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7769891292307032,NA
35,0.30438475456250413,NA,NA,NA,NA,NA,NA,-1.2602200039495024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,NA,NA,NA,NA,NA,NA,NA,NA,-4.833360582588176,NA,NA,NA,NA,NA,NA,NA,-3.3634117398571313,NA,NA,NA
68,NA,NA,NA,NA,-0.5193518039894811,-2.12751819311649,NA,1.983124608732568,NA,NA,NA,NA,NA,NA,1.714197501244339,NA,NA,NA,NA,NA
79,NA,2.30458638413878,NA,NA,NA,NA,-1.74999673805339,NA,-1.999756999754861,-2.8778601478514068,1.520770814418679,NA,2.308879661640076,NA,0.01868647307620952,NA,NA,NA,NA,NA
139,NA,NA,1.2264571612407855,NA,NA,NA,NA,1.14406986297716,-3.236998016212357,NA,NA,1.9399100014485917,NA,NA,NA,NA,NA,NA,-0.6523768351402819,NA
165,-0.5000012972992127,NA,NA,NA,NA,-0.6775345442975284,NA,NA,NA,NA,NA,NA,NA,NA,1.0526009240280312,NA,-0.31016361861587594,-4.535385956498078,NA,NA
208,NA,NA,NA,0.017099548852178792,NA,NA,NA,NA,NA,NA,2.2335920755394163,NA,1.2027000970046429,NA,NA,-0.27910178833265376,NA,NA,NA,NA
243,-0.5616737450810825,NA,NA,NA,NA,NA,NA,-0.25314100977175213,-1.2923603423494803,NA,2.9361941652064485,0.02434733205001277,NA,NA,NA,NA,-2.7026529384253206,NA,NA,NA
258,NA,NA,NA,-0.014114525236775699,NA,NA,NA,0.9006224317456456,NA,NA,1.8306849176904432,NA,NA,NA,0.4958389702870894,NA,NA,NA,-2.110598404699454,NA
261,0.08723548628066852,1.1083874728638552,NA,NA,NA,NA,NA,NA,NA,NA,1.6566362588262815,1.7867590616347893,NA,NA,NA,NA,1.1264928605433462,NA,NA,-1.0331538582500674
271,NA,NA,1.6734261673446822,0.7155267515539657,NA,NA,NA,NA,NA,-0.8002362555560165,2.2848489045228426,NA,NA,1.1762455642173224,NA,NA,NA,NA,NA,NA
296,-1.1940498863128648,NA,0.20907064346441784,NA,NA,NA,NA,2.487630778638803,NA,-0.2236973901280066,2.774028153132779,NA,NA,NA,1.874885091187922,NA,NA,NA,NA,NA
311,0.18891066053954603,NA,NA,0.10105841803826487,-0.3928200673346088,NA,NA,0.4747172854600936,-1.9555494776251914,NA,NA,2.2732393575684218,NA,NA,NA,NA,NA,NA,NA,NA
337,NA,4.008290135449327,NA,NA,-2.3309028514054098,NA,NA,NA,-1.3377197478657075,NA,0.903462436950429,NA,NA,NA,NA,5.9958414671518705,-0.6494293876126507,NA,NA,-2.3046747832269165
