ID,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20
6,-0.7289478809825743,NA,NA,NA,NA,NA,NA,-0.314448721153828,-2.133728603752259,NA,NA,NA,NA,NA,NA,0.32031469650972055,-0.42539918268935834,NA,-1.5758661187426701,NA
8,NA,NA,NA,NA,0.5512258258351725,-4.118015815947463,NA,NA,NA,NA,NA,4.250117844326997,NA,1.440121284327075,NA,NA,-0.416196573316004,NA,NA,NA
16,NA,NA,NA,-0.533142722054228,-1.4717387732367988,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5160600370164168,NA,NA,NA,NA,NA
35,0.30438475456250413,NA,NA,-0.740233719578411,NA,-0.501716920835702,NA,NA,-0.8412976061810878,2.5675758681375385,NA,NA,NA,NA,0.3831922748380937,NA,NA,-3.2285525671362407,NA,NA
59,-1.2429338038935362,2.39403336040429,NA,2.140453336517806,NA,-0.2874882442142613,NA,NA,-4.833360582588176,NA,NA,1.0346483899557646,NA,1.089122596460464,NA,0.4942577952316245,NA,NA,NA,-2.000859852003981
68,NA,NA,NA,NA,NA,NA,-2.411675515885944,NA,NA,NA,2.842587049700375,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,NA,NA,NA,-0.8508446369341947,NA,0.14459991383251314,NA,NA,NA,NA,1.520770814418679,NA,NA,NA,NA,NA,NA,NA,2.413094607243174,-3.1702177470885293
139,NA,NA,NA,NA,NA,NA,NA,NA,-3.236998016212357,NA,NA,NA,NA,3.9605183257243475,-0.44246543654047393,NA,2.388541498306486,-7.3057966055690935,NA,NA
165,NA,NA,NA,-1.2680666498586812,0.21901537023286688,-0.6775345442975284,NA,NA,1.4412996679959518,NA,NA,NA,NA,NA,1.0526009240280312,NA,NA,NA,NA,-1.5145979404040677
208,NA,NA,2.205620030420745,NA,NA,NA,NA,NA,-2.778525168084087,-1.8056547026640928,NA,2.2867124864158734,1.2027000970046429,5.178095857353608,NA,NA,-3.025847899096403,NA,NA,NA
243,NA,NA,NA,NA,NA,-0.0660089655146876,NA,NA,NA,0.5023826957789148,2.9361941652064485,NA,NA,NA,1.970936810138667,1.1766058925703446,NA,NA,NA,NA
258,NA,NA,1.3980406259113685,-0.014114525236775699,0.594587922654016,NA,NA,NA,NA,NA,1.8306849176904432,2.0851419162139426,NA,1.0657953851234756,NA,NA,-1.2071610814364955,-6.584648849677054,-2.110598404699454,NA
261,0.08723548628066852,NA,NA,NA,NA,-2.131884627236439,NA,NA,-1.2129827032642255,NA,NA,1.7867590616347893,4.266065927796399,NA,-1.5917467701035162,NA,NA,NA,-0.20502838287420494,-1.0331538582500674
271,-0.7164372130138958,NA,1.6734261673446822,NA,NA,NA,NA,NA,-0.2721675831185461,-0.8002362555560165,2.2848489045228426,1.0181579870009871,NA,NA,NA,3.3913908196064866,NA,NA,NA,NA
296,-1.1940498863128648,1.7585077310422335,NA,NA,NA,-2.3368615451570403,-1.2603628909430118,NA,NA,-0.2236973901280066,NA,1.0771291935695313,NA,-1.7031990372282535,NA,NA,-1.3259083351163632,NA,0.12090827593227416,NA
311,0.18891066053954603,NA,NA,NA,-0.3928200673346088,NA,NA,NA,-1.9555494776251914,NA,0.36549121637417115,NA,NA,NA,NA,NA,0.8135367206110184,NA,-0.35719566160801386,1.689255191532152
337,NA,NA,2.0187862415781517,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.539784957804584,NA,NA,NA,NA,NA,NA,-2.3046747832269165
353,NA,0.24629540581242956,NA,NA,-2.0107212502737672,-2.1215407170233793,NA,NA,-2.0099582588327576,NA,NA,-0.9397530495504043,NA,NA,NA,NA,NA,-4.781623372333007,-0.41901292866973017,-0.8449382342715059
364,NA,NA,NA,-0.9761086883583117,NA,-4.112673347639695,NA,NA,NA,NA,NA,0.11396971865213967,NA,NA,NA,NA,NA,NA,-2.1639265802782672,-1.0723578165154266
391,NA,2.4868944456655115,NA,NA,-2.267109539384691,-1.6030663418714546,NA,NA,NA,-0.6836534955157485,NA,1.9394886902643536,NA,2.1182123214732993,NA,NA,NA,NA,NA,NA
398,-1.841169414391107,2.4374747460907775,4.512546483194599,1.5795874767683877,-0.9202359787648896,NA,NA,NA,-2.1660569699472934,NA,1.3780225352016653,NA,NA,NA,NA,NA,NA,NA,NA,NA
423,4.050861491096496,NA,1.3006235447606136,-1.0951086979686144,NA,NA,0.47747945778697715,NA,NA,NA,NA,0.41164814293068447,NA,NA,NA,NA,NA,NA,-1.2901102642158346,NA
448,-1.3751360490581115,-2.2567505982092104,NA,NA,NA,NA,-1.6608111157842553,NA,-1.8050323598683737,-0.5346697237232002,NA,NA,NA,NA,1.8009275813956442,4.770618746375479,NA,-5.992477710323236,NA,NA
453,NA,NA,-1.1765618656887633,-1.7571934475848312,-0.06866201964647523,NA,NA,NA,-1.814125575286033,NA,NA,NA,1.8352228251988052,NA,NA,NA,NA,NA,-2.6086255026039837,NA
485,1.7344938008382442,NA,NA,NA,NA,NA,NA,NA,-1.9913429373094473,NA,1.1978750881181561,NA,NA,NA,1.258543970405059,NA,-1.6403401017643566,-6.894454402024861,NA,NA
487,NA,NA,NA,-2.620947368627612,NA,NA,NA,NA,NA,NA,NA,0.6859906003393432,NA,1.6954945996198698,NA,NA,-1.4925834741299817,NA,NA,NA
497,NA,NA,NA,NA,NA,-0.6973618801545777,NA,NA,NA,NA,NA,NA,3.685345245113521,3.2384699554790064,NA,NA,NA,NA,NA,NA
502,NA,2.7609786018827362,1.0237007036006271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-6.723328809425157,-1.2352941009826153,NA
515,NA,1.6591572470370397,NA,NA,NA,NA,NA,NA,NA,NA,1.2392251977892257,0.8892342285020303,7.596270713644159,NA,1.14343173685526,NA,-1.2218092170966588,-2.9553105562929263,NA,NA
517,NA,NA,NA,NA,0.02222959900410526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2690477121047103,-0.8471858703042046,NA,NA,NA
534,NA,NA,NA,3.0777591629269008,-2.4053754842550235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
540,NA,1.008887895489071,NA,1.408337326640606,NA,NA,NA,0.745316618003314,-3.153127809240664,NA,NA,0.4248191747991841,NA,NA,NA,NA,NA,NA,NA,NA
565,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.418341448929613,NA,0.8563105842210161,1.7483915273962358,2.6702996744967455,0.4825398850164063,-7.536389140560889,NA,-2.572396533534042
568,NA,NA,NA,NA,-1.236070130951096,NA,NA,NA,NA,NA,0.4642705728726402,NA,NA,-1.2184187423274797,-0.7942265516158076,NA,NA,-3.4842343604790877,NA,NA
584,NA,NA,NA,NA,0.30349173956559206,NA,NA,0.15606860263769978,NA,NA,NA,-0.27491773456878094,3.595059763834695,0.019346532056821658,2.4321316309022296,2.712640405292195,NA,NA,NA,NA
665,NA,-0.2120546435195445,1.3905518836616526,NA,NA,NA,-3.0009757781310857,1.0724254834916742,NA,NA,NA,NA,NA,NA,NA,NA,0.32047447482438446,-4.5498186092576,NA,NA
668,NA,-1.677532049388439,3.282525057603136,NA,NA,NA,NA,-0.3632231192736552,NA,NA,-2.8874573758875104,0.7147658590269532,NA,NA,NA,1.7862158171706959,NA,NA,NA,NA
670,-1.9464631153753884,NA,3.8376491277617304,NA,NA,-0.740566150162173,-1.0619423252594369,NA,-3.357030919673071,-0.13008174082258372,0.18003175671575233,NA,3.252645371199967,NA,NA,NA,-0.44226316429410606,NA,NA,NA
682,NA,NA,NA,NA,NA,NA,-3.521730886389328,1.9270149633518163,-1.0063132497650116,NA,NA,-1.3442448560756888,2.756213978648733,1.7064113537086187,NA,1.011568896674236,NA,NA,NA,NA
709,NA,NA,NA,0.46933596436523184,NA,-1.8693349348511692,NA,-2.2294707462950436,-2.563713669354571,NA,NA,NA,NA,1.2312060795932636,NA,0.2757975305208964,NA,NA,NA,1.4651614966024549
724,0.13909406243655406,3.3038012733630793,NA,NA,1.9134460747481319,NA,NA,NA,NA,NA,NA,NA,3.7584965009272975,NA,3.1549566073247957,NA,NA,NA,NA,-0.35831578419263754
764,NA,-0.018993273106320985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7728933351519929,-1.9981040751298205
