ID,gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20
6,NA,NA,NA,NA,2.6579556777608437,NA,NA,-0.314448721153828,NA,NA,NA,0.9356854569049594,1.3941875691048953,0.5359813010057619,2.0471887602051626,NA,-0.42539918268935834,NA,-1.5758661187426701,-1.7281960576777193
8,NA,0.6581252130303248,2.2243221722910222,NA,NA,NA,NA,NA,-0.5381581819707603,NA,-0.7802825016990818,4.250117844326997,NA,1.440121284327075,NA,4.498071141529378,NA,-5.288954568118271,NA,NA
16,NA,NA,NA,NA,NA,-3.126794737783696,NA,1.600551501680744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.5594668610286915
35,0.30438475456250413,NA,NA,-0.740233719578411,NA,NA,NA,-1.2602200039495024,-0.8412976061810878,NA,1.194404483594106,1.6671865275112148,2.001434081888283,NA,0.3831922748380937,NA,NA,-3.2285525671362407,NA,NA
59,NA,NA,NA,NA,-0.8068468321182245,-0.2874882442142613,NA,NA,NA,1.1263584808717058,NA,NA,2.1595394020144747,1.089122596460464,1.7879364363649795,0.4942577952316245,-3.3634117398571313,-6.268688458033497,-0.6116616521441613,NA
68,NA,NA,NA,NA,NA,-2.12751819311649,NA,NA,-2.785201287330515,NA,NA,-0.5688177954144467,NA,3.485050016460792,1.714197501244339,1.7180822314486122,NA,NA,NA,-0.8161314453934725
79,1.6391226625154414,NA,NA,-0.8508446369341947,-2.1124236142364023,NA,NA,-0.5446261469319474,-1.999756999754861,-2.8778601478514068,1.520770814418679,NA,NA,3.0746401895892683,0.01868647307620952,-0.912520145881007,-1.348990256156488,-7.458077728395708,2.413094607243174,NA
139,NA,NA,NA,NA,0.6075683143903209,NA,NA,1.14406986297716,NA,NA,NA,NA,NA,3.9605183257243475,-0.44246543654047393,NA,2.388541498306486,NA,-0.6523768351402819,-1.2694037094240338
165,-0.5000012972992127,NA,1.813156579422379,-1.2680666498586812,NA,NA,NA,NA,1.4412996679959518,NA,-0.330675042277381,NA,1.3311246982426155,NA,1.0526009240280312,NA,-0.31016361861587594,-4.535385956498078,-1.5801349578118842,-1.5145979404040677
208,-2.1531689336276134,NA,NA,NA,NA,-1.5614500146553816,-0.9617446329285857,NA,-2.778525168084087,NA,2.2335920755394163,NA,1.2027000970046429,NA,0.7869961357223727,-0.27910178833265376,-3.025847899096403,-7.586022600530171,-1.731397898409773,-2.5247809555375826
243,-0.5616737450810825,NA,2.0583356889005593,0.021860953156291163,NA,-0.0660089655146876,NA,-0.25314100977175213,-1.2923603423494803,0.5023826957789148,2.9361941652064485,NA,2.9382037799246565,NA,1.970936810138667,1.1766058925703446,NA,-5.953968344606553,NA,NA
258,NA,1.79530788080329,NA,-0.014114525236775699,0.594587922654016,-2.3907546577690737,-3.249583692297927,NA,-4.340965878924946,NA,NA,NA,NA,NA,0.4958389702870894,-0.5932076586554453,-1.2071610814364955,NA,NA,-3.9565765123417145
261,NA,1.1083874728638552,NA,NA,NA,NA,NA,-0.92820114055217,NA,NA,1.6566362588262815,1.7867590616347893,4.266065927796399,NA,NA,NA,1.1264928605433462,NA,-0.20502838287420494,-1.0331538582500674
271,NA,NA,1.6734261673446822,0.7155267515539657,NA,-1.7483984825802394,NA,-0.834757505031735,NA,-0.8002362555560165,NA,NA,1.2770104183653042,NA,NA,3.3913908196064866,NA,NA,0.5954511929644285,-2.2095854125622303
296,NA,NA,0.20907064346441784,0.6964550937639749,NA,NA,NA,2.487630778638803,NA,NA,NA,1.0771291935695313,2.546314823589664,-1.7031990372282535,1.874885091187922,1.4743202257805357,-1.3259083351163632,-5.480348104014402,NA,NA
